day,month,year,x,y,data_source,data_source2,presence_absence,weights
4,2,2004,27.1144,-29.7402,ICOSAMP,controldata,0,0.982398328
31,3,2004,27.6071,-27.7894,ICOSAMP,controldata,1,0.993463002
1,5,2004,26.66667,-20.76667,ICOSAMP,controldata,1,0.996684617
1,5,2004,26.66667,-20.76667,ICOSAMP,controldata,1,0.996684617
1,5,2004,26.83333,-20.96667,ICOSAMP,controldata,1,0.997198429
1,5,2004,26.83333,-20.96667,ICOSAMP,controldata,1,0.997198429
1,5,2004,25.96667,-21.18333,ICOSAMP,controldata,1,0.998360392
1,5,2004,25.96667,-21.18333,ICOSAMP,controldata,1,0.998360392
1,5,2004,25.96667,-21.18333,ICOSAMP,controldata,1,0.998360392
1,5,2004,25.96667,-21.18333,ICOSAMP,controldata,1,0.998360392
1,5,2004,26.23333,-21.28333,ICOSAMP,controldata,1,0.999453464
1,5,2004,26.23333,-21.28333,ICOSAMP,controldata,1,0.999453464
20,2,2004,29.479,-22.7121,ICOSAMP,controldata,0,0.951695869
20,2,2004,17.6113,-23.4971,EBIRD,gbifdata,0,0.990130204
27,2,2004,31.2589,-24.3071,ICOSAMP,controldata,0,0.453420234
27,2,2004,30.0968,-22.5943,EBIRD,gbifdata,0,0.892425298
27,2,2004,32.29484,-28.057453,EBIRD,gbifdata,1,0.699601707
27,2,2004,27.36666667,-21.08333333,NfA-yearpos5AC,controldata,1,0.988651342
27,2,2004,26.89222222,-21.31555556,NfA-yearpos5AC,controldata,1,0.992645877
27,2,2004,27.07916667,-21.335,NfA-yearpos5AC,controldata,1,0.992645877
27,2,2004,27.10222222,-21.20305556,NfA-yearpos5AC,controldata,1,0.991595288
27,2,2004,27.03666667,-21.20638889,NfA-yearpos5AC,controldata,1,0.991595288
11,3,2004,32.5608,-23.2783,EBIRD,gbifdata,0,0.997910304
16,1,2004,31.193018,-22.533539,EBIRD,gbifdata,1,0.830020183
16,1,2004,31.219267,-22.422916,EBIRD,gbifdata,1,0.830020183
21,7,2004,25.1062,-27.3378,ICOSAMP,controldata,0,0.990328457
21,7,2004,24.945,-27.9245,ICOSAMP,controldata,0,0.988413933
5,5,2004,27.1797,-27.8189,ICOSAMP,controldata,1,0.994559371
21,1,2004,26.7985,-17.316,EBIRD,gbifdata,0,0.752371001
1,7,2004,27.5178,-25.9137,ICOSAMP,controldata,0,0.612775586
1,7,2004,24.6188,-28.0899,ICOSAMP,controldata,0,0.986063334
21,2,2004,25.52,-28.2155,ICOSAMP,controldata,0,0.982462627
13,5,2004,27.2182,-27.4648,ICOSAMP,controldata,1,0.985023844
20,7,2004,25.1695,-28.1073,ICOSAMP,controldata,0,0.985275679
18,5,2004,27.12667,-27.81417,ICOSAMP,controldata,1,0.994172963
27,7,2004,28.9185,-28.287,ICOSAMP,controldata,0,0.982931712
2,12,2004,28.13167,-28.28139,ICOSAMP,controldata,1,0.944338092
21,3,2004,30.5414,-23.2837,EBIRD,gbifdata,0,0.936709971
24,11,2004,21.2263,-19.7899,EBIRD,gbifdata,0,0.999758881
24,11,2004,26.0926,-26.9281,ICOSAMP,controldata,0,0.971829288
12,10,2004,26.8417,-27.8602,ICOSAMP,controldata,0,0.991109517
14,12,2004,29.0875,-27.35556,ICOSAMP,controldata,1,0.892770146
14,12,2004,29.723,-23.3741,ICOSAMP,controldata,0,0.910129668
5,12,2004,29.7584,-29.3113,ICOSAMP,controldata,0,0.77330815
18,1,2004,31.614876,-23.947351,EBIRD,gbifdata,1,0.716540749
16,12,2004,29.5053,-28.5513,ICOSAMP,controldata,0,0.939062705
22,1,2004,27.2082,-26.343,EBIRD,gbifdata,0,0.835007769
22,3,2004,28.510939,-26.347395,EBIRD,gbifdata,1,0.636173664
30,12,2004,26.8804,-25.7391,ICOSAMP,controldata,0,0.91377592
30,12,2004,29.8806,-27.0398,ICOSAMP,controldata,0,0.895059744
17,12,2004,28.7513,-26.0001,ICOSAMP,controldata,0,0.442707496
24,12,2004,28.9315,-26.2373,ICOSAMP,controldata,0,0.49729947
27,12,2004,28.3755,-26.1915,ICOSAMP,controldata,0,0.468654557
27,12,2004,17.8433,-18.849,EBIRD,gbifdata,0,0.923416079
28,11,2004,32.0331,-24.6983,EBIRD,gbifdata,0,0.041994856
23,1,2004,31.2958,-26.3821,EBIRD_ARG,gbifdata,0,0.911562986
13,3,2004,31.592087,-24.993254,EBIRD_ARG,gbifdata,1,0.659160322
13,3,2004,21.4014,-19.3215,EBIRD,gbifdata,1,0.922574077
1,3,2004,32.239166,-28.016983,EBIRD_POR,gbifdata,1,0.770020897
4,12,2004,18.5631,-22.8729,EBIRD,gbifdata,0,0.995499116
3,12,2004,31.7136,-22.665,EBIRD,gbifdata,0,0.814037132
2,1,2004,17.130432,-22.574865,EBIRD,gbifdata,1,0.96175856
